year,sido_cd,spot_nm,bjd_cd,lat,lon,occrrnc_cnt,caslt_cnt,dth_cnt,se_cnt,sl_cnt,wnd_cnt
2017,26,부산광역시 중구 중앙동6가(부산우체국사거리 인근),2611010900,35.10294039484849,129.03644309606062,25,33,0,11,19,3
2017,26,부산광역시 서구 암남동(충무교차로 인근),2614012400,35.09645377030302,129.02446943848489,29,55,0,13,37,5
2017,26,부산광역시 서구 동대신동3가(동대사거리 인근),2614010300,35.11146958272727,129.02180728363638,19,27,1,7,17,2
2017,26,부산광역시 서구 암남동(세영수산 인근),2614012400,35.080091066363636,129.02204598666665,18,26,0,10,16,0
2017,26,부산광역시 동구 초량동(부산역 인근),2617010100,35.11484308181818,129.0394849390909,34,44,0,14,25,5
2017,26,부산광역시 동구 초량동(백광약국 인근),2617010100,35.12024270727272,129.03910384727274,24,29,0,14,13,2
2017,26,부산광역시 동구 초량동(한국토지공사 인근),2617010100,35.1180688339394,129.04134750121213,23,37,0,5,30,2
2017,26,부산광역시 영도구 봉래동1가(대교사거리 인근),2620011500,35.09216611454545,129.03970653363638,23,35,0,6,29,0
2017,26,부산광역시 영도구 봉래동3가(소방서앞사거리 인근),2620011700,35.09075986454546,129.04361684666665,19,23,0,11,12,0
2017,26,부산광역시 영도구 영선동2가(농협교차로 인근),2620010900,35.088165146060604,129.04221812727272,10,10,0,4,5,1
2017,26,부산광역시 부산진구 부전동(서면교차로 인근),2623010300,35.15776923969697,129.05915165787883,54,82,0,21,51,10
2017,26,부산광역시 부산진구 범천동(광무교북측 인근),2623010400,35.1506978339394,129.0592205330303,51,85,0,20,58,7
2017,26,부산광역시 부산진구 가야동(부전사거리 인근),2623011000,35.15771402030303,129.0547634078788,47,65,1,29,29,6
2017,26,부산광역시 동래구 사직동(내성교차로 인근),2626010900,35.20441633272728,129.0780564690909,40,49,0,14,32,3
2017,26,부산광역시 동래구 온천동(동부터미널교차로 인근),2626010800,35.21178733333334,129.0787531572727,37,44,0,9,32,3
2017,26,부산광역시 동래구 명륜동(동래경찰서 인근),2626010700,35.20143761333333,129.08523750181817,26,35,1,9,24,1
2017,26,부산광역시 남구 문현동(문현지하차도남단 인근),2629010900,35.13604661515151,129.0677715660606,29,36,0,7,22,7
2017,26,부산광역시 남구 대연동(대연전화국 인근),2629010600,35.13799111393939,129.10138271909088,27,29,0,7,19,3
2017,26,부산광역시 남구 대연동(대연사거리 인근),2629010600,35.135124492121214,129.09192934363637,24,31,1,7,21,2
2017,26,부산광역시 북구 구포동(덕천교차로 인근),2632010500,35.21014126969696,129.00539803303033,30,47,0,7,34,6
2017,26,부산광역시 북구 덕천동(성진주유소앞 인근),2632010400,35.21259373848485,129.01025900181818,29,38,1,12,24,1
2017,26,부산광역시 북구 덕천동(만덕베르빌아파트앞 인근),2632010400,35.212872614545454,129.0377034378788,28,40,0,9,27,4
2017,26,부산광역시 해운대구 중동(우리은행중앙지점 인근),2635010600,35.16290452030304,129.1646063466667,23,37,2,10,24,1
2017,26,부산광역시 해운대구 우동(올림픽교차로 인근),2635010500,35.168930926969686,129.13896950121216,22,40,0,9,26,5
2017,26,부산광역시 해운대구 반여동(선수촌교차로 인근),2635010300,35.20487092787878,129.11973928242423,21,30,0,13,17,0
2017,26,부산광역시 사하구 장림동(하단교차로 인근),2638010500,35.106146271818176,128.9684689078788,49,67,0,18,46,3
2017,26,부산광역시 사하구 장림동(하단초등학교 인근),2638010500,35.10440148909092,128.96455653242424,23,27,1,11,14,1
2017,26,부산광역시 사하구 하단동(사하구청앞 인근),2638010300,35.10416217757576,128.9720898772727,19,31,0,6,21,4
