key,sido_cd,road_class,n_roads,max_lanes,maxspeed
35.18689,128.92709,26,unclassified,1,,
35.20182,128.8532,26,unclassified,1,,
35.23073,128.97795,26,motorway,14,2,
35.13513,128.88565,26,tertiary,4,,
35.183,128.84682,26,service,1,,
35.16528,128.94222,26,tertiary,2,,
35.19141,128.89723,26,trunk,2,,
35.24808,128.98271,26,primary,1,,
35.18779,128.84617,26,unclassified,3,,
35.15243,128.86835,26,residential,3,,
35.18669,129.21614,26,residential,3,,
35.23287,129.17538,26,unclassified,1,,
35.18668,128.90456,26,secondary,1,,
35.16811,128.91268,26,tertiary,3,,
35.15839,128.9423,26,motorway,3,4,100
35.14007,128.86107,26,tertiary,8,,
35.17893,128.90186,26,primary,4,,
35.15682,128.85924,26,tertiary,5,,
35.20362,128.84309,26,residential,1,,
35.15441,128.91296,26,residential,1,,
35.16209,128.89364,26,tertiary,2,,
35.17296,128.87399,26,motorway,2,4,100
35.16005,128.89218,26,tertiary,8,2,
35.18211,129.20677,26,secondary,6,4,
35.20562,129.20697,26,secondary,12,,
35.16991,128.88128,26,tertiary,1,,
35.18,128.9024,26,primary,2,,
35.24811,129.16358,26,unclassified,1,,
35.23324,129.18244,26,residential,1,,
35.16129,128.898,26,unclassified,1,2,
35.15813,128.91844,26,tertiary,3,,
35.10491,129.11557,26,residential,7,,
35.2346,129.18105,26,residential,3,,
35.19355,129.20501,26,motorway,12,3,80
35.19819,128.91132,26,tertiary,1,,
35.23295,129.15223,26,residential,11,,
35.19337,128.84478,26,secondary,2,4,
35.12831,128.85664,26,primary,4,,80
