key,road_class,n_roads,max_lanes,maxspeed
37.49371,127.01374,primary,23,,
37.4649,127.04203,trunk,25,3,50
37.52436,127.04829,secondary,17,,60
37.50262,127.04283,primary,20,4,
37.52561,127.1177,primary,14,8,50
37.53866,127.12346,primary,25,7,
37.53575,127.13553,primary,14,2,
35.10503,129.03628,primary,20,4,
35.09956,129.02483,secondary,27,,
35.11587,129.01751,secondary,15,,
35.10336,129.02002,primary,17,2,
35.15022,129.05923,trunk,23,4,70
35.20791,129.06977,trunk,15,,80
35.13734,129.09994,secondary,18,5,
35.23485,129.01223,trunk,9,,
35.16365,129.15893,secondary,11,1,20
35.18436,129.11799,trunk,12,1,80
35.19362,129.11748,secondary,17,4,50
35.09908,128.9869,primary,10,6,20
35.21504,129.10719,secondary,13,,
35.22978,129.09237,primary,10,,
35.24432,129.0909,secondary,22,,
35.09715,128.9234,secondary,11,,
35.18452,129.10719,secondary,12,2,
35.19355,129.07971,primary,9,4,
35.17134,129.10948,trunk,28,,50
35.15178,128.97631,trunk,12,2,70
35.24683,129.21685,tertiary,13,1,
35.23785,129.21338,secondary,9,,
35.24179,129.21665,tertiary,10,1,
35.86459,128.59821,secondary,16,8,
35.86827,128.59988,secondary,6,,
35.88122,128.63741,primary,18,6,
35.88971,128.64225,secondary,8,,
35.89316,128.59351,trunk,12,2,80
35.8141,128.52409,primary,3,4,60
35.85746,128.46496,primary,12,4,60
35.87474,128.49721,secondary,17,,
37.45364,126.62726,motorway,7,2,80
37.45082,126.68987,secondary,10,8,
37.41367,126.67681,secondary,11,10,
37.42623,126.69893,secondary,19,,
37.50696,126.73132,secondary,32,2,
37.54744,126.74068,secondary,19,4,30
37.59364,126.67418,secondary,16,10,60
37.59894,126.65083,secondary,24,5,60
37.62727,126.53213,primary,20,,
37.74437,126.48743,secondary,13,2,
35.14057,126.92206,primary,19,2,
35.14195,126.91918,tertiary,29,,
35.14521,126.91733,tertiary,18,,
35.13502,126.91702,primary,18,4,60
35.11857,126.89895,primary,18,,50
35.15927,126.8994,tertiary,27,,
35.17094,126.92254,primary,23,,60
35.17986,126.81844,secondary,22,6,60
36.3516,127.4415,secondary,27,6,70
36.33341,127.43885,secondary,28,6,70
36.31694,127.45731,primary,12,4,
36.31823,127.41765,primary,20,4,
36.34154,127.38926,primary,18,4,70
36.36432,127.33821,primary,27,4,70
36.35849,127.41444,primary,15,4,70
36.35902,127.42696,secondary,19,3,70
36.35674,127.40517,trunk,22,3,70
35.5687,129.34402,secondary,19,,60
35.55801,129.31187,primary,15,6,50
35.53217,129.43297,secondary,4,,
35.62706,129.35351,tertiary,10,,
35.55694,129.36016,secondary,14,,70
35.63033,129.35122,tertiary,27,,
35.56984,129.12794,primary,14,3,
35.4296,129.30682,tertiary,15,,
35.4361,129.31047,residential,14,,
36.49971,127.24052,trunk,23,3,
37.26371,127.03253,tertiary,12,8,60
37.25997,127.02384,primary,23,3,
37.74372,127.05151,tertiary,34,4,50
37.39868,126.93454,primary,13,7,
37.50382,126.76299,tertiary,15,4,60
37.50605,126.74859,motorway,11,4,100
37.46195,126.88028,secondary,21,,50
37.4735,126.86735,secondary,12,6,60
37.06669,127.06322,primary,13,4,70
36.99189,127.08669,secondary,24,,
37.05739,127.05924,secondary,25,,
37.8995,127.06397,secondary,6,4,50
37.66311,126.76752,secondary,16,2,30
37.67683,126.74581,primary,21,7,60
37.42426,126.99743,trunk,21,4,90
37.59473,127.17332,trunk,24,7,80
37.70981,127.18432,secondary,29,6,60
37.14939,127.06447,primary,15,4,
37.34629,126.73575,tertiary,12,4,
37.34484,126.74791,tertiary,18,2,
37.56195,127.19337,secondary,36,,
37.56757,127.19088,secondary,12,,
37.53903,127.21244,primary,29,8,
37.32463,127.10228,motorway,26,4,110
37.32336,127.09613,secondary,16,2,
37.75743,126.77457,tertiary,20,,
37.70692,126.75929,trunk,20,3,60
37.85762,126.78502,secondary,18,,
37.00511,127.26822,secondary,19,,
37.0084,127.265,secondary,13,2,40
37.60044,126.77212,primary,17,2,70
37.40713,127.26015,tertiary,22,6,70
37.82195,127.04897,secondary,12,,
37.20274,127.54726,secondary,15,,
37.28678,127.61963,trunk,16,2,80
38.03015,127.07091,tertiary,13,2,
37.6981,127.38446,primary,7,,70
37.74728,127.42798,primary,8,4,60
37.4908,127.49775,secondary,37,,
37.86852,127.73045,tertiary,10,,
37.87626,127.73148,tertiary,13,1,50
37.33567,127.9299,tertiary,21,7,60
37.33206,127.94641,tertiary,31,,
37.54728,129.10722,tertiary,16,4,
37.17335,128.99386,primary,17,,60
37.14845,128.99194,primary,14,,40
38.21064,128.59358,secondary,25,4,20
38.19259,128.57858,primary,18,4,
37.38141,129.22551,tertiary,18,,
37.67904,127.85883,trunk,10,2,70
37.48753,127.98525,tertiary,21,,50
37.49101,127.98651,tertiary,22,,
37.51402,128.21262,primary,5,,
37.18091,128.46346,primary,25,2,
37.1787,128.47733,secondary,16,2,
37.67867,128.70035,motorway,14,2,100
37.3672,128.39553,primary,12,,
37.62028,128.37518,secondary,16,2,60
37.49462,128.84968,primary,5,2,30
38.20739,127.21866,primary,17,2,60
38.16377,127.41095,secondary,9,,
38.10908,127.6881,primary,5,,
38.11084,127.70844,secondary,3,,
38.11014,127.9873,tertiary,21,,
38.12185,128.20811,trunk,19,,80
38.07846,128.61606,trunk,10,2,80
38.07636,128.62414,tertiary,13,,40
36.6247,127.43045,secondary,23,7,30
36.6572,127.47483,secondary,11,4,
36.98333,127.93405,tertiary,19,6,
36.97373,127.92384,tertiary,12,6,60
36.98723,127.92838,tertiary,15,6,
37.13586,128.21145,tertiary,12,4,
37.13312,128.22238,primary,12,6,
36.30171,127.56464,primary,11,4,
36.29862,127.56672,primary,15,4,
36.22862,127.90909,secondary,5,,
36.87118,127.46871,primary,7,,
36.98984,127.44489,tertiary,16,2,60
36.91003,127.50767,secondary,15,,
36.80923,127.79462,primary,24,,60
36.80481,127.79211,primary,6,,60
36.96608,127.49009,secondary,10,,
36.93764,127.69141,secondary,19,,50
36.97759,128.35562,primary,11,4,30
36.83254,127.13406,tertiary,12,2,50
36.79796,127.13056,secondary,31,4,80
36.81877,127.15383,secondary,13,4,50
36.45859,127.12493,secondary,6,2,
36.47258,127.1342,secondary,9,,
36.35191,126.5918,secondary,7,,
36.78124,127.00034,primary,28,3,
36.78127,127.0045,primary,27,6,60
36.79716,127.10639,secondary,14,,
36.78218,126.45109,tertiary,10,2,40
36.77722,126.4508,secondary,8,4,50
36.20474,127.08475,secondary,11,4,
36.1024,127.49347,secondary,7,,
36.10277,127.49886,primary,19,,
36.28369,126.92296,secondary,19,4,
36.27411,126.9364,trunk,12,2,70
36.07539,126.68744,tertiary,15,2,
36.44002,126.79532,primary,9,,
36.44285,126.79519,trunk,17,,80
36.39851,126.94131,primary,7,,
36.65653,126.68198,secondary,14,3,60
36.59448,126.65424,tertiary,22,,20
36.70407,126.66806,tertiary,11,1,
36.65865,126.76661,primary,13,,70
36.75347,126.29809,tertiary,13,,
36.75108,126.30295,tertiary,10,1,
36.75688,126.29136,secondary,18,,
35.81696,127.10968,tertiary,12,,
35.81366,127.11268,secondary,12,4,
35.83013,127.14177,tertiary,26,4,
35.963,126.69251,tertiary,12,4,
35.95947,126.71569,tertiary,11,,
35.95932,126.9809,tertiary,10,6,60
35.95923,126.9768,tertiary,17,6,60
35.95838,126.97168,tertiary,9,6,60
35.5609,126.8683,primary,8,,
35.40074,127.37718,primary,12,,
35.40657,127.37522,primary,10,,
35.3969,127.37997,secondary,15,,
35.80922,126.89737,secondary,6,,
35.88089,127.15587,primary,7,,
35.93926,127.16812,residential,15,,
35.79308,127.34718,primary,9,,
35.79214,127.43019,primary,15,2,
36.01069,127.67564,primary,13,2,
35.91077,127.75954,primary,10,2,
35.86633,127.65433,secondary,4,,
35.65017,127.5142,primary,18,,
35.73059,127.58327,tertiary,10,,
35.67463,127.27003,tertiary,17,,
35.64973,127.28357,primary,7,,
35.63684,127.28202,primary,2,4,
35.37676,127.13976,secondary,12,,
35.372,127.14086,tertiary,12,,
35.37894,127.14136,secondary,11,,
35.43835,126.69264,primary,11,2,
35.43538,126.69248,primary,15,2,
35.45986,126.698,primary,2,4,
35.58795,126.67793,primary,6,,
34.8107,126.42526,tertiary,11,6,
34.80935,126.43203,secondary,16,,
34.75908,127.66565,tertiary,12,6,
34.74858,127.69953,tertiary,18,4,
35.03282,126.71947,tertiary,14,4,
35.04712,126.8419,tertiary,12,,
35.31507,126.98352,primary,27,3,80
35.30924,126.98206,primary,19,4,50
35.27267,126.97313,motorway,5,4,100
35.2753,127.13382,tertiary,15,,
35.19417,127.37544,primary,6,2,
35.22763,127.2269,primary,12,4,
35.20874,127.46454,secondary,16,2,
35.21068,127.47406,primary,10,,
35.21534,127.46464,secondary,17,,
34.60748,127.28399,secondary,13,,
34.52718,127.14073,secondary,21,,
35.05868,126.98166,secondary,24,,
35.05313,126.97238,trunk,10,,60
35.05566,126.97843,tertiary,23,,
34.67966,126.90531,primary,16,2,50
34.66736,126.89222,primary,6,,60
34.56984,126.59897,tertiary,18,,
34.56687,126.59537,tertiary,18,,
34.57095,126.60889,tertiary,10,,
34.80331,126.70061,secondary,13,4,
34.7245,126.56936,secondary,15,2,
34.79915,126.70262,secondary,12,4,
34.80974,126.4603,tertiary,12,4,
35.10906,126.31076,secondary,3,2,
34.98767,126.47837,primary,11,4,
35.17952,126.6257,secondary,8,2,
35.0223,126.53299,primary,9,2,
35.28027,126.49945,primary,10,2,
35.27795,126.50365,secondary,10,4,
35.2865,126.5059,primary,12,2,
35.29983,126.78162,tertiary,11,,
35.29252,126.77256,primary,10,,
35.30596,126.77797,secondary,4,,
34.31369,126.75672,secondary,16,2,
34.31839,126.7431,primary,11,,
34.48104,126.26371,tertiary,10,2,
34.48184,126.25844,tertiary,12,,
34.48263,126.2748,primary,19,,
35.06042,126.21131,primary,12,,
36.04042,129.36897,tertiary,15,,
36.01279,129.34341,primary,22,3,50
35.85147,129.21759,secondary,17,3,
36.12572,128.118,tertiary,24,,
36.13783,128.41756,primary,22,,60
36.11949,128.3595,secondary,9,4,60
36.12633,128.33745,secondary,12,4,30
35.93146,128.87552,secondary,11,2,
35.95288,128.93072,tertiary,7,,
36.41881,128.16273,tertiary,16,4,
36.59434,128.20159,tertiary,9,,
36.59509,128.19802,tertiary,8,,50
36.1128,128.57446,primary,4,,80
36.09977,128.66391,secondary,15,,50
36.35384,128.69451,secondary,9,6,
36.38518,128.43629,secondary,12,,
36.59731,129.08597,primary,7,,
36.66429,129.11756,secondary,13,,
36.26803,129.37433,primary,27,4,
35.68606,128.68523,primary,20,,
35.73791,128.27165,secondary,21,,
35.75176,128.37505,motorway,4,2,100
35.9178,128.28952,primary,12,,
35.92151,128.28753,residential,7,,
35.91471,128.28513,residential,9,,
35.98808,128.39933,secondary,16,,
35.98105,128.39863,tertiary,10,,
35.99668,128.39741,primary,11,4,70
36.64832,128.44404,secondary,14,4,
36.65125,128.45565,secondary,18,6,
36.60751,128.27743,tertiary,10,,
36.67746,129.44081,tertiary,21,4,
35.15953,128.6981,primary,16,4,
35.17974,128.55836,primary,22,2,70
35.26295,128.61829,secondary,12,,
35.19297,128.1167,tertiary,16,,
34.84232,128.42115,tertiary,14,4,
34.85293,128.42911,tertiary,10,4,40
34.93899,128.07641,secondary,22,,
35.22789,128.88254,tertiary,7,,
35.23177,128.86027,tertiary,10,4,
35.30725,128.73545,primary,23,1,
35.49217,128.74476,primary,16,,
34.89283,128.63063,primary,16,,
35.33719,129.02803,tertiary,8,4,
35.41496,129.16959,secondary,19,,
35.37372,129.15241,secondary,18,,
35.31918,128.25438,secondary,11,,
35.28,128.40323,primary,14,4,
35.27504,128.39888,primary,13,4,
35.30885,128.51909,primary,10,,
35.38928,128.48194,tertiary,17,,
35.5401,128.49245,secondary,11,,
35.39368,128.48106,tertiary,8,,
34.9762,128.32607,residential,5,,
35.05552,128.36605,secondary,7,4,70
34.97547,128.33473,primary,5,3,
34.84094,127.89398,tertiary,8,,
35.02943,127.90476,secondary,8,,
35.29473,127.95864,primary,7,,
35.52454,127.76299,secondary,8,2,70
35.56763,128.16327,primary,12,,
35.56697,128.1587,tertiary,12,,
33.49476,126.5337,secondary,9,,50
33.24759,126.56159,secondary,15,2,
33.25422,126.57693,secondary,18,3,
37.58583,127.00147,primary,39,6,
37.57012,126.97624,primary,34,8,60
37.55482,127.01069,primary,17,,
37.52899,127.00754,trunk,13,4,80
37.52957,126.96829,primary,19,5,
37.51933,126.99429,trunk,19,4,80
37.5579,127.04017,primary,32,3,30
37.55716,127.07954,primary,21,5,
37.54509,127.10435,primary,21,4,
37.57228,127.07285,secondary,27,,
37.61382,127.10145,primary,18,8,50
37.63963,127.02743,primary,23,3,
37.65421,127.06003,primary,21,6,50
37.63204,127.06189,trunk,19,4,30
37.5921,126.91474,primary,26,6,50
37.60634,126.92294,primary,27,,
37.56537,126.96618,primary,29,8,60
37.57167,126.95969,primary,19,8,50
37.54954,126.91407,primary,22,6,30
37.56531,126.91183,trunk,20,6,80
37.54337,126.95231,primary,29,5,
37.5289,126.86417,trunk,22,5,80
37.53099,126.87503,trunk,15,5,80
37.5598,126.83789,primary,15,7,60
37.49488,126.84118,primary,20,,
37.47611,126.88179,secondary,6,4,
37.5298,126.89299,trunk,20,2,80
37.49753,126.95256,primary,26,5,
37.50432,126.97591,trunk,16,8,80
37.46496,127.04192,trunk,24,3,50
37.47714,126.98279,primary,24,6,
37.5232,127.03919,secondary,14,6,60
37.53831,127.12425,primary,26,7,
35.1109,129.0122,primary,26,,
35.09337,129.02391,secondary,10,8,
35.08585,129.04098,trunk,22,,
35.15448,129.05992,primary,16,4,30
35.19556,129.10835,secondary,16,,
35.13658,129.07232,trunk,20,,
35.19391,129.11609,secondary,14,1,50
35.17236,129.17506,secondary,22,6,
35.08495,128.98223,trunk,11,5,
35.23939,129.0926,trunk,12,,
35.22377,129.08795,primary,19,6,60
35.09864,128.92019,secondary,17,,
35.08905,128.90274,secondary,15,2,
35.19528,129.08001,primary,13,8,
35.14954,128.98954,trunk,11,2,70
35.24206,129.21772,tertiary,16,1,
35.86696,128.59992,secondary,10,,
35.86706,128.58905,secondary,8,5,70
35.87634,128.60419,trunk,16,,
35.93343,128.5486,primary,14,2,
35.81814,128.53853,primary,21,4,60
35.86299,128.46046,primary,6,4,60
35.87367,128.47636,secondary,13,6,
37.46657,126.63492,motorway,28,3,80
37.47827,126.63156,tertiary,21,3,
37.49105,126.64821,secondary,9,,
37.47727,126.64921,primary,18,,
37.4342,126.69767,motorway,15,3,100
37.40139,126.72328,secondary,16,,
37.49811,126.73047,secondary,17,7,50
37.59463,126.67404,secondary,11,,
37.7473,126.48356,secondary,25,,
37.73734,126.4881,primary,7,4,
35.14694,126.92767,primary,20,4,60
35.13449,126.90154,primary,24,,
35.0983,126.87724,trunk,21,3,60
35.1334,126.91002,primary,22,4,60
35.18049,126.93011,primary,15,4,60
35.21829,126.84255,secondary,15,6,60
36.32935,127.42772,secondary,19,4,
36.32148,127.40918,primary,10,8,
36.34466,127.37991,primary,13,4,70
36.36675,127.331,motorway,10,2,100
35.49659,129.42911,tertiary,10,,
35.48797,129.41564,secondary,25,,
35.51282,129.42513,tertiary,13,,
35.57057,129.36092,secondary,9,,70
35.54974,129.35804,secondary,7,,70
35.43071,129.30826,tertiary,13,,
35.55766,129.25482,primary,12,,
36.49854,127.24023,trunk,8,3,
36.48624,127.30099,tertiary,10,,50
36.52747,127.24884,trunk,12,3,60
37.2776,127.01678,tertiary,20,,
37.74357,127.04656,secondary,29,4,50
37.37831,126.95615,motorway,16,4,100
37.40486,126.97059,primary,13,4,
37.48676,126.7769,primary,19,8,
37.48585,126.78313,primary,16,5,
37.44187,126.84689,secondary,10,,70
37.06709,127.05879,secondary,14,,
37.8916,127.05703,secondary,7,6,
37.89895,127.05649,secondary,6,2,
37.8886,127.0568,secondary,7,4,
37.31518,126.84505,primary,17,7,
37.29369,126.85868,secondary,23,2,30
37.64356,126.78739,primary,22,6,60
37.66325,126.72545,trunk,27,4,80
37.58412,127.15702,motorway,9,5,100
37.65386,127.24376,tertiary,10,,30
37.14964,127.06225,primary,20,6,
37.43914,126.78566,primary,19,,
37.3648,126.72851,primary,7,4,
37.36172,126.93323,tertiary,16,6,
37.34463,126.97485,primary,19,,
37.56097,127.19175,secondary,31,,
37.56589,127.18903,tertiary,29,,
37.32382,127.09692,secondary,20,2,
37.32614,127.10907,trunk,29,,60
37.2705,127.09954,trunk,9,3,80
37.75776,126.77362,tertiary,19,,
37.7107,126.76027,primary,11,2,
37.76507,126.77388,secondary,18,6,60
37.27428,127.45089,primary,25,4,80
37.30023,127.40786,primary,11,,
37.00158,127.26767,secondary,10,,60
37.01318,127.25789,secondary,9,2,40
37.00443,127.26942,secondary,16,,
37.64401,126.66901,tertiary,11,6,
37.4099,127.25825,tertiary,16,2,
37.41404,127.26023,secondary,18,6,
37.80428,127.08336,secondary,11,6,60
37.81888,127.09379,secondary,5,4,
37.2891,127.63561,tertiary,22,6,
38.02628,127.06631,primary,13,6,
37.82947,127.51397,primary,16,,
37.8182,127.3497,tertiary,15,2,
37.48985,127.49383,tertiary,33,,
37.8858,127.7463,tertiary,11,4,
37.87384,127.71337,primary,7,6,
37.33644,127.92867,tertiary,18,,
37.34691,127.95482,secondary,32,3,
37.76293,128.90056,tertiary,32,6,50
37.75515,128.89855,primary,18,4,30
37.76417,128.8772,tertiary,18,,
37.48053,129.11282,primary,20,4,
37.52913,129.10491,primary,7,4,
38.1896,128.58646,primary,31,4,40
37.43221,129.1802,primary,11,,
37.44047,129.16512,tertiary,9,,
37.6876,127.88963,trunk,8,4,80
37.80684,127.99151,trunk,11,2,80
37.66574,127.84217,trunk,10,,70
37.48576,127.99057,tertiary,23,,50
37.18119,128.46584,primary,17,2,
37.18028,128.47544,primary,20,4,
37.64433,128.56783,primary,5,4,
37.20927,128.63772,trunk,8,2,80
38.2106,127.24562,secondary,18,4,
38.23689,127.43684,primary,9,,
38.21233,127.21525,primary,17,2,
38.11296,127.70135,secondary,5,,
38.10498,127.99091,tertiary,29,,
38.10132,127.9836,secondary,22,,
37.91732,128.28731,service,10,1,
38.24378,128.56936,primary,11,4,80
38.25998,128.5557,primary,17,4,80
38.15688,128.60944,primary,4,4,20
36.62496,127.42934,tertiary,10,7,30
36.63727,127.49074,secondary,25,4,
37.11923,128.20226,secondary,10,4,
36.48625,127.72159,tertiary,9,,
36.48563,127.71182,primary,12,,
36.30694,127.57306,secondary,25,,
36.20376,127.71661,primary,10,4,
36.17811,127.77817,secondary,15,,
36.7861,127.58159,primary,27,,
36.7838,127.57278,primary,11,4,
36.86168,127.43948,primary,13,2,60
36.80926,127.81007,trunk,14,2,80
36.659,127.73967,primary,3,,
36.90923,127.54112,secondary,8,6,
36.99217,127.59013,secondary,11,,
36.99471,127.59613,secondary,18,,
37.02908,128.30361,secondary,7,,30
36.9809,128.3505,primary,15,4,50
36.82666,127.13746,secondary,20,3,60
36.79712,127.12994,secondary,29,4,80
36.37073,127.26034,trunk,7,2,70
36.47304,127.13771,tertiary,11,,
36.46341,127.14028,trunk,14,4,80
36.77685,127.05407,trunk,22,3,60
36.77226,126.44045,primary,19,4,60
36.77812,126.45756,secondary,11,4,50
36.77102,126.43667,primary,11,2,60
36.28878,127.24487,residential,14,,50
36.95806,126.77212,trunk,8,3,80
36.10172,127.49967,primary,23,1,
36.102,127.48822,primary,11,,
36.27616,126.91275,secondary,14,4,
36.27388,126.88118,secondary,8,,
36.08374,126.6827,trunk,8,,70
36.41052,126.9508,primary,19,,
36.37576,126.93545,primary,6,,
36.70449,126.67285,primary,20,4,
35.81629,127.10968,tertiary,11,,
35.83378,127.12301,tertiary,36,10,
35.80593,127.1233,tertiary,17,10,60
35.96271,126.69311,tertiary,15,4,
35.9585,126.97681,tertiary,16,6,60
35.57675,126.84694,primary,7,,
35.56349,126.86623,primary,13,,
35.56402,126.86027,tertiary,10,,
35.40937,127.37656,primary,21,,
35.40683,127.37054,tertiary,15,,
35.8003,126.88479,secondary,14,,
35.81711,126.93164,secondary,12,4,
35.82068,127.02531,secondary,13,2,
35.90282,127.07666,primary,7,,80
35.77627,127.39569,primary,4,,
36.0052,127.6756,primary,8,2,
35.53809,127.32797,tertiary,11,,
35.61202,127.27697,secondary,11,2,
35.37806,127.14122,secondary,14,,
35.37873,127.14546,primary,7,,
35.43757,126.6926,primary,9,2,
35.72612,126.73626,secondary,27,,15
35.72717,126.73969,secondary,25,,
35.72661,126.73079,tertiary,24,,
34.81233,126.39951,tertiary,19,,
34.81001,126.42226,tertiary,9,6,
34.80559,126.42417,tertiary,17,6,
34.95589,127.51818,tertiary,13,,
35.02117,126.78497,secondary,7,,
35.02385,126.78679,tertiary,2,,
35.02866,126.71774,tertiary,14,4,
34.93589,127.69628,tertiary,27,4,
34.97947,127.58275,primary,29,,
34.94396,127.68868,secondary,18,6,
35.31562,126.98557,primary,17,3,80
35.31977,126.98121,primary,16,,
35.28265,127.14564,trunk,9,2,
35.13132,127.25357,tertiary,11,,
35.27579,127.13469,tertiary,13,2,
35.20634,127.46457,secondary,12,2,
35.2081,127.48605,,0,,
34.53232,127.14019,primary,7,,
34.83795,127.41135,primary,12,4,80
34.86392,127.32376,trunk,7,2,80
35.05811,126.98167,secondary,20,,
34.71961,126.70936,trunk,7,,
34.6424,126.78188,secondary,10,,
34.57022,126.59814,,0,,
34.74552,126.47407,secondary,18,,
34.81439,126.46023,tertiary,12,4,
34.80539,126.4603,tertiary,10,4,
34.81099,126.46029,tertiary,5,4,
35.2783,126.503,secondary,9,,
35.35582,126.45194,secondary,19,2,80
35.30864,126.79034,motorway,10,2,100
35.29238,126.77286,primary,16,,
34.31973,126.74613,primary,11,,
34.31716,126.74847,secondary,6,,
34.47915,126.26382,primary,14,,
34.48164,126.25964,tertiary,12,,
35.05828,126.20668,primary,6,,
36.01208,129.37137,primary,23,,
36.0121,129.34289,primary,22,3,50
35.84445,129.21538,,0,,
35.86346,129.21296,secondary,7,4,
36.11527,128.15563,primary,13,4,60
36.56574,128.72693,tertiary,16,2,
36.55829,128.72088,tertiary,18,,60
36.11635,128.33923,tertiary,22,,50
36.08665,128.36125,motorway,19,8,100
36.10319,128.42373,secondary,18,,60
36.8189,128.62065,primary,18,,
35.96074,128.93288,tertiary,7,,30
36.42001,128.16269,tertiary,18,1,
36.59488,128.19908,tertiary,9,,50
36.58587,128.19206,secondary,16,,50
36.60207,128.2037,tertiary,7,,30
35.8378,128.75389,secondary,15,,
35.83422,128.72756,primary,16,,
35.83415,128.74033,secondary,5,,
36.23743,128.56723,,0,,
36.34976,128.69954,secondary,9,2,
36.38282,128.44039,secondary,8,,
36.43397,129.04982,primary,9,,
36.66502,129.11404,secondary,15,2,
36.3592,129.38322,secondary,9,2,
35.69455,128.88821,primary,9,,
35.78683,128.39842,secondary,4,,
35.91851,128.28563,primary,10,,
35.91345,128.28471,secondary,6,,
36.00129,128.60192,trunk,14,,50
36.6576,128.46141,secondary,18,4,
36.65844,128.47434,trunk,10,,
35.1593,128.69671,primary,11,4,
35.23434,128.57959,primary,13,,
35.15285,128.70596,primary,10,2,
35.15591,128.10738,tertiary,23,,
35.17317,128.06014,trunk,17,,
34.8274,128.40485,secondary,6,,
35.08429,128.0859,secondary,9,,
35.08025,128.08312,primary,6,,
35.22522,128.87472,primary,20,,
35.24537,128.90395,secondary,15,,
35.4861,128.75651,secondary,14,,
34.89185,128.62437,primary,31,3,70
34.88817,128.6267,tertiary,12,,
34.88969,128.60912,secondary,18,3,70
35.33544,129.02781,tertiary,12,4,
35.33014,129.00745,primary,22,2,50
35.35892,129.04585,motorway,18,4,100
35.31698,128.26223,primary,12,,
35.31761,128.26756,primary,12,,
35.2755,128.40591,primary,9,4,
35.27784,128.40821,secondary,9,2,
35.2764,128.40157,primary,9,4,
35.38828,128.48217,tertiary,15,,
35.5373,128.49556,secondary,10,,
35.05005,128.3626,secondary,15,4,70
34.8411,127.89903,primary,6,,
35.41465,127.87546,tertiary,9,2,
35.41732,127.87846,tertiary,14,,
35.30505,127.96588,primary,8,,
35.51639,127.72526,secondary,21,2,
35.68776,127.91588,secondary,12,,
35.69076,127.91469,secondary,12,,
35.5684,128.16135,secondary,8,,
35.57142,128.16381,primary,8,,
33.48579,126.49322,secondary,8,,
33.24946,126.56166,secondary,19,,
33.25738,126.57357,tertiary,16,,
37.57537,126.97567,primary,12,3,40
37.57043,127.00943,primary,35,6,60
37.58507,127.00102,primary,37,6,
37.5559,126.97268,primary,28,4,
37.55459,127.01069,primary,18,,
37.56068,126.98171,primary,24,11,
37.53301,127.00642,primary,18,2,
37.52934,126.96829,primary,14,5,
37.52217,126.96186,trunk,17,6,80
37.54401,127.03555,primary,20,4,
37.55174,127.04539,trunk,20,6,80
37.5659,127.03583,primary,36,2,50
37.53969,127.07067,trunk,22,5,50
37.55723,127.07875,primary,19,5,
37.55854,127.07358,primary,42,5,
37.57795,127.03837,primary,21,4,60
37.57873,127.04135,primary,18,4,60
37.57149,127.07142,secondary,17,,
37.59758,127.09393,primary,28,,50
37.59256,127.0717,trunk,12,8,80
37.59965,127.10049,primary,33,5,
37.60274,127.02488,trunk,16,6,70
37.60315,127.03225,trunk,32,8,70
37.59313,127.0164,primary,30,6,
37.63775,127.02565,primary,23,3,
37.6394,127.02743,primary,26,3,
37.63505,127.02327,primary,29,6,
37.65648,127.03956,primary,14,4,30
37.65113,127.03638,primary,24,8,
37.66259,127.04251,primary,21,6,
37.61692,127.07421,trunk,20,4,70
37.65457,127.06059,primary,19,6,50
37.61799,127.07732,trunk,15,4,70
37.61859,126.92032,primary,30,6,50
37.61103,126.9173,primary,27,6,50
37.58897,126.91838,secondary,17,,
37.5907,126.94193,trunk,30,8,70
37.56859,126.91837,trunk,27,3,80
37.5813,126.93585,trunk,32,3,70
37.55498,126.9216,primary,19,6,
37.54865,126.91409,primary,19,6,30
37.53976,126.94755,primary,24,5,
37.51684,126.83947,primary,26,7,
37.52594,126.86438,secondary,16,10,
37.53566,126.82838,primary,21,4,
37.55834,126.83828,primary,27,7,60
37.53038,126.84746,secondary,17,6,
37.55289,126.85081,primary,14,7,30
37.47955,126.88888,primary,15,2,
37.48645,126.87798,primary,13,3,
37.49418,126.84014,primary,20,,
37.45454,126.90058,primary,38,6,60
37.47588,126.88179,secondary,6,4,
37.46626,126.90175,secondary,16,4,60
37.51854,126.91357,primary,25,8,
37.53573,126.89784,primary,20,,
37.52957,126.89299,trunk,20,2,80
37.50408,126.97645,trunk,17,8,80
37.51339,126.95614,trunk,19,8,80
37.50296,126.94772,primary,29,6,
37.4847,126.92966,primary,24,6,60
37.48104,126.95278,primary,20,8,60
37.4817,126.92908,secondary,23,,60
37.50191,127.00349,primary,17,,60
37.50478,127.00113,primary,29,4,
37.4614,127.0373,trunk,17,3,50
37.50264,127.04369,primary,27,4,50
37.50453,127.02533,primary,18,8,
37.5071,127.03393,primary,14,,
37.51305,127.10023,primary,26,6,
37.51391,127.10729,secondary,16,,
37.47064,127.12676,motorway,32,7,100
37.53884,127.12367,primary,25,7,
37.53372,127.13862,primary,11,,
37.52188,127.13415,primary,13,10,
35.09755,129.02826,primary,15,8,
35.0984,129.03584,primary,24,4,
35.10274,129.03644,primary,25,4,
35.09625,129.02447,primary,17,8,
35.10935,129.01649,secondary,17,,
35.11567,129.01751,secondary,17,,
35.11909,129.042,primary,24,3,
35.11452,129.03943,primary,15,8,
35.1369,129.06357,secondary,14,8,
35.09245,129.03837,secondary,17,6,
35.0928,129.04487,trunk,22,,
35.09056,129.04362,trunk,19,6,
35.15754,129.05782,primary,17,4,
35.15428,129.05992,primary,16,3,30
35.14711,129.05926,primary,23,8,
