key,road_class,n_roads,max_lanes,maxspeed
37.8186,127.04609,secondary,16,,
37.79512,127.07873,secondary,6,6,60
37.8222,127.04914,secondary,10,,
37.80545,127.13149,primary,9,6,60
37.85498,127.16723,primary,17,2,30
37.7778,127.11463,primary,9,4,60
37.28792,127.63437,tertiary,21,6,
37.20599,127.54308,primary,14,,
37.29885,127.55638,primary,7,,80
38.02975,127.06621,primary,15,6,
38.02309,127.06737,primary,9,6,
37.98664,127.07056,primary,2,2,
37.73577,127.41505,primary,10,4,
37.81692,127.50824,primary,24,1,
37.82154,127.51396,primary,19,,
37.49535,127.48502,secondary,19,4,
37.48796,127.49199,secondary,29,4,
37.48999,127.49436,tertiary,31,,
37.9002,127.7286,tertiary,17,,
37.86068,127.74428,tertiary,8,,
37.8554,127.74943,tertiary,9,,
37.34719,127.93209,tertiary,17,4,
37.35152,127.9492,secondary,17,3,40
37.34644,127.95393,secondary,28,3,
37.75643,128.89886,primary,25,4,60
37.76538,128.87349,primary,21,4,60
37.75419,128.89534,primary,9,,
37.49251,129.11066,primary,10,4,
37.53029,129.10479,primary,13,4,
37.54482,129.10319,tertiary,11,,
37.15933,128.98991,primary,9,,60
37.14763,128.99251,primary,14,,60
37.17406,128.99374,primary,19,,60
38.19199,128.57903,primary,14,4,
38.19738,128.57613,primary,7,4,
38.1896,128.58888,primary,22,4,40
37.43944,129.16859,tertiary,11,,
37.44082,129.16426,tertiary,10,,
37.44677,129.17872,primary,7,,
37.67565,127.85517,trunk,3,,70
37.80589,127.99262,trunk,9,2,80
37.80033,127.9875,trunk,7,2,80
37.49101,127.98776,tertiary,22,,
37.48839,127.98565,tertiary,25,,50
37.50932,128.21443,secondary,9,2,
37.18038,128.47723,primary,22,4,
37.14305,128.68115,secondary,8,,
37.1809,128.46255,primary,26,4,
37.63668,128.55816,primary,16,4,
37.36769,128.39552,tertiary,6,,
37.63871,128.55995,primary,13,4,
37.2263,128.81493,secondary,17,,60
37.38154,128.6666,secondary,4,2,
37.20946,128.8425,trunk,7,2,
38.15807,127.30972,primary,11,4,
38.1849,127.33314,primary,4,,
38.2498,127.41846,primary,9,,
38.1084,127.98955,tertiary,21,,
38.10274,127.98629,primary,20,,
38.12135,128.20892,trunk,17,,80
38.06497,128.17529,trunk,6,,70
38.09262,128.17977,trunk,5,,80
38.24244,128.56993,primary,6,4,80
38.26633,128.3576,primary,2,2,40
38.26026,128.55466,primary,13,4,80
38.06985,128.6248,primary,12,2,60
38.14032,128.61412,primary,4,4,70
38.11613,128.6298,primary,6,4,40
36.63398,127.46053,secondary,23,4,50
36.63167,127.42748,secondary,19,,
36.64306,127.46249,tertiary,16,4,
36.98234,127.92832,tertiary,15,6,
36.98231,127.93447,tertiary,24,6,
36.98447,127.93953,tertiary,12,4,
37.12303,128.2016,primary,12,4,
37.13287,128.20608,tertiary,8,1,
37.13001,128.20638,primary,11,1,
36.48517,127.72175,tertiary,9,,
36.47892,127.70551,tertiary,3,,
36.48308,127.72263,tertiary,7,,
36.3012,127.569,secondary,17,,
36.30569,127.54839,trunk,8,2,
36.29861,127.56674,primary,15,4,
36.17537,127.7778,secondary,12,,
36.17395,127.77506,primary,18,2,
36.16469,127.78588,secondary,6,,
36.78523,127.58272,secondary,19,2,
36.78345,127.57313,primary,14,4,
36.78828,127.56879,primary,11,,60
36.85481,127.44458,tertiary,22,2,
36.98924,127.44715,primary,10,,
36.86138,127.42969,trunk,10,2,80
36.80941,127.79641,primary,9,,60
36.80695,127.79333,primary,8,,60
36.83585,127.76099,trunk,10,,80
36.99352,127.5953,secondary,26,,
36.96693,127.48773,tertiary,10,,
36.96771,127.48564,secondary,11,,
36.98121,128.36879,primary,10,4,30
36.97782,128.3668,primary,7,4,30
37.01701,128.3318,primary,8,,80
36.83291,127.13573,tertiary,10,2,40
36.81907,127.13658,secondary,10,4,60
36.79907,127.13114,secondary,22,4,60
36.47044,127.12755,primary,19,5,60
36.46222,127.04733,primary,16,,
36.45661,127.12477,secondary,8,,
36.35025,126.59687,secondary,14,,
36.35234,126.60819,primary,14,3,70
36.34857,126.60447,primary,19,3,60
36.78136,127.00411,primary,24,3,60
36.78223,127.00037,primary,27,6,
36.78081,127.00683,primary,14,6,
36.76965,126.45321,primary,19,4,60
36.77715,126.45275,secondary,17,4,50
36.78365,126.45937,tertiary,52,4,50
36.19157,127.09452,primary,14,4,50
36.20256,127.08672,secondary,13,4,
36.21044,127.21846,primary,8,4,
36.28837,127.24511,residential,12,,50
36.28219,127.24231,primary,7,2,
36.28331,127.24904,tertiary,5,,
36.90037,126.63264,primary,13,3,60
36.89833,126.62811,primary,21,3,60
36.94529,126.78347,trunk,17,3,80
36.10198,127.49596,secondary,24,,
36.10226,127.4883,primary,15,,
36.10717,127.48975,primary,15,,
36.27612,126.91091,secondary,13,,
36.21559,126.76005,tertiary,10,,
36.27603,126.90331,secondary,13,2,
36.08892,126.68272,primary,9,2,70
36.07424,126.69923,secondary,8,2,
36.02889,126.71035,trunk,15,,70
36.46125,126.7977,primary,11,,
36.41115,126.95123,primary,13,,
36.45201,126.81974,primary,13,,
36.60489,126.66233,tertiary,17,2,60
36.5997,126.66568,tertiary,20,,
36.60062,126.671,tertiary,12,,
36.70413,126.66902,tertiary,9,1,
36.67529,126.78634,motorway,19,,110
36.6849,126.80735,primary,17,,
36.75316,126.29877,tertiary,12,,
36.75139,126.30229,tertiary,13,1,
36.7525,126.29368,secondary,9,,
35.84428,127.12479,tertiary,17,3,
35.81207,127.12317,tertiary,17,10,60
35.83546,127.13509,tertiary,18,4,
35.97936,126.72029,primary,13,,
35.96369,126.69369,tertiary,13,4,
35.96967,126.68494,tertiary,8,,30
35.95933,126.98161,tertiary,7,6,60
35.94587,126.96628,secondary,14,,
35.95924,126.97734,tertiary,18,6,60
35.55657,126.86557,secondary,12,,
35.56628,126.86202,primary,14,,
35.57049,126.85265,primary,9,,
35.40667,127.37362,primary,15,1,
35.39931,127.37928,secondary,11,,
35.40096,127.37707,primary,14,,
35.80389,126.89702,secondary,12,,
35.79981,126.88794,secondary,11,,60
35.8054,126.88335,secondary,13,,
35.91053,127.07264,secondary,13,,80
35.85448,127.20927,primary,5,4,
35.87912,127.15619,primary,5,,
35.97432,127.65205,primary,6,2,
36.00602,127.6676,secondary,11,2,
36.00933,127.78723,primary,4,,
35.68464,127.27905,secondary,5,,
35.37052,127.14081,tertiary,11,,
35.4042,126.67526,primary,4,2,
35.43537,126.69248,primary,15,2,
35.51095,126.67184,primary,3,,
35.72718,126.73965,secondary,25,,
35.72644,126.73222,secondary,34,,
35.7291,126.7299,tertiary,25,,
34.80377,126.42037,secondary,19,4,
34.81075,126.42377,tertiary,8,6,
34.80618,126.42376,tertiary,18,6,
34.75937,127.66767,secondary,27,6,
34.74028,127.73145,tertiary,25,4,50
34.75286,127.70452,tertiary,12,2,
34.95318,127.51905,secondary,19,,
34.95804,127.52128,primary,25,,
34.95457,127.52575,tertiary,17,,20
34.9947,126.71379,primary,22,,
